Onderwerp;Module;Titel;Niveau;Type;Taal;Tijdsinvestering;Aanbieder;Organisatie;Kosten;Beschrijving;Link
AIETHIC;Technologie;Generatieve AI for dummies;1;Workshop;Nederlands;12;Onderwijs;Fontys;Eenmalig;Instapcursus die geen voorkennis vereist;https://www.fontys.nl/Professionals-en-werkgevers/Opleidingen-en-cursussen/AI-voor-dummies.htm
AIETHIC;Technologie;Workshop AI voor beginners;1;Workshop;Nederlands;3;Onderwijs;Fontys;Eenmalig;Ontdek hoe Gen AI-tools het dagelijkse werk kunnen vereenvoudigen en deze een nieuwe dimensie kunnen geven. In deze workshop krijg je inzicht in de mogelijkheden van diverse AI-tools en ontvang je praktische handvatten die je voorbereiden op toekomstige ontwikkelingen binnen AI;https://www.fontys.nl/Blended-Learning/Trainingen/Workshop-artificial-intelligence-AI-voor-beginners.htm?utm_source=Fontys+Hogescholen&utm_campaign=07fba599b2-EMAIL_CAMPAIGN_2024_03_11_09_26&utm_medium=email&utm_term=0_be228b346e-07fba599b2-%5BLIST_EMAIL_ID%5D
AIETHIC;Technologie;Nationale AI cursus;1;E-learning;Nederlands;4;Publiek;Consortium;Gratis;Introductie in AI;https://www.ai-cursus.nl/
AIETHIC;Technologie;AI en Ethiek;1;E-learning;Nederlands;4;Publiek;Consortium;Gratis;AI en Ethiek introductie;https://www.tech-cursus.nl/app/16-ai-en-ethiek/home
AIETHIC;Technologie;Elements of AI;1;E-Learning;Nederlands;24;Publiek;Consortium;Gratis;Mystiek rondom AI weghalen;https://course.elementsofai.com/nl/
AIETHIC;Technologie;Introduction to Generative AI;1;E-Learning;Engels;3;Commercieel;Google;Gratis;Leerpad rondom basisbegrippen generatieve AI;https://www.cloudskillsboost.google/paths/118
AIETHIC;Technologie;AI en Ethiek;2;E-Learning;Engels;50;Publiek;Helsinki;Gratis;Verdieping rondom Ethiek;https://ethics-of-ai.mooc.fi/
AIETHIC;Technologie;Generatieve AI met CoPilot in Bing;1;E-Learning;Nederlands;1;Commercieel;Microsoft;Gratis;Copilot leren gebruiken;https://learn.microsoft.com/nl-nl/training/modules/explore-generative-ai-copilot-bing/
AIETHIC;Technologie;Deep Learning & Reinforcement learning;3;E-Learning;Engels;40;Commercieel;Huggingface;Gratis;Verdieping in NederlandsP, Audio en Reinforcement Learning. Kennis van Python helpt;https://huggingface.co/learn
AIETHIC;Technologie;Prompt Engineering guide;1;Guide;Engels;1;Commercieel;OpenAI;Gratis;manual rondom prompt Engineering;https://platform.openai.com/docs/guides/prompt-engineering
DACL;Technologie;Prompt Engineering guide;1;Guide;Engels;1;Commercieel;Datacamp;Gratis;manual rondom prompt Engineering;https://www.datacamp.com/blog/what-is-prompt-engineering-the-future-of-ai-communication
DACL;Technologie;Generative AI concept;1;E-Learning;Engels;2;Commercieel;Datacamp;Abbonement;;https://www.datacamp.com/courses/generative-ai-concepts
DACL;Technologie;Introductie ChatGPT;1;E-Learning;Engels;1;Commercieel;Datacamp;Gratis;Eerste stappen met ChatGPT;https://www.datacamp.com/courses/introduction-to-chatgpt
